# ESDB usage notes for scowl-60 (generated by scripts/build_wordlist.py)
ahold	informal
asshole	vulgar-1
assholes	vulgar-1
bugger	vulgar-3
buggered	vulgar-3
buggering	vulgar-3
buggers	vulgar-3
bullshit	vulgar-1
bullshits	vulgar-1
bullshitted	vulgar-1
bullshitter	vulgar-1
bullshitters	vulgar-1
bullshitting	vulgar-1
chickenshit	vulgar-1
chickenshits	vulgar-1
cocksucker	vulgar-1
cocksuckers	vulgar-1
coon	offensive-2
coons	offensive-2
crap	vulgar-3
crapped	vulgar-3
crapper	vulgar-3
crappers	vulgar-3
crapping	vulgar-3
craps	vulgar-3
cunt	vulgar-1
cunts	vulgar-1
dick	vulgar-3
dickens	vulgar-3
dicker	vulgar-3
dickered	vulgar-3
dickering	vulgar-3
dickers	vulgar-3
dicks	vulgar-3
enshittification	vulgar-2
enshittified	vulgar-2
enshittifies	vulgar-2
enshittify	vulgar-2
enshittifying	vulgar-2
fart	vulgar-3
farted	vulgar-3
farting	vulgar-3
farts	vulgar-3
fuck	vulgar-1
fucked	vulgar-1
fucker	vulgar-1
fuckers	vulgar-1
fuckhead	vulgar-1
fuckheads	vulgar-1
fucking	vulgar-1
fucks	vulgar-1
horseshit	vulgar-1
kraut	offensive-2
krauts	offensive-2
motherfucker	vulgar-1
motherfuckers	vulgar-1
motherfucking	vulgar-1
nigga	offensive-1
niggas	offensive-1
niggaz	offensive-1
nigger	offensive-1
niggers	offensive-1
piss	vulgar-3
pissed	vulgar-3
pisser	vulgar-3
pissers	vulgar-3
pisses	vulgar-3
pissing	vulgar-3
shit	vulgar-1
shitfaced	vulgar-1
shithead	vulgar-1
shitheads	vulgar-1
shitload	vulgar-1
shits	vulgar-1
shitted	vulgar-1
shittier	vulgar-1
shittiest	vulgar-1
shitting	vulgar-1
shitty	vulgar-1
wop	offensive-2
wops	offensive-2
